id,"title","author"
116,"Boys and girls from Thackeray ","Kate Dickinson Sweetser"
117,"American Political Ideas Viewed From The Standpoint Of Universal History","John Fiske"
118,"The Great Events by Famous Historians, Vol. 2","Various"
119,"All Saints' Day and Other Sermons","Charles Kingsley"
120,"The Folk-lore of Plants","T. F. Thiselton-Dyer"
121,"Adonais","Shelley"
122,"England of My Heart--Spring","Edward Hutton"
123,"Oriental Literature","Anonymous"
124,"Fairies and Fusiliers","Robert Graves"
125,"Aunt Jane's Nieces","Edith Van Dyne"
126,"Aunt Jane's Nieces and Uncle John","Edith Van Dyne"
127,"The Best Letters of Charles Lamb","Charles Lamb"
128,"Home-Life of the Lancashire Factory Folk during the Cotton Famine","Edwin Waugh"
129,"Abducted to Oz","Bob Evans and Chris Dulabone"
130,"The Great Events by Famous Historians, Vol. 17","Charles Francis Horne"
131,"Excellent Women","Various"
132,"The First Men In The Moon","H. G. Wells"
133,"Books for Children","Charles and Mary Lamb"
134,"Required Poems for Reading and Memorizing","Anonymous"
135,"The Sowers","Henry Seton Merriman"
136,"The Vigil of Venus and Other Poems by \"Q\"","Q"
137,"John Wesley, Jr.","Dan B. Brummitt"
138,"The Great English Short-Story Writers, Vol. 1","Various"
139,"The Book of Household Management","Mrs. Isabella Beeton"
140,"The Atlantic Monthly, Volume 1, Issue 2, December, 1857","Various"
141,"The Faith of the Millions (2nd series)","George Tyrrell"
142,"The Lure of the Dim Trails","by (AKA B. M. Sinclair) B. M. Bower"
143,"A Discourse on the Life, Character and Writings of Gulian Crommelin","William Cullen Bryant"
144,"Maezli","Johanna Spyri"
145,"Punch, Volume 153, July 11, 1917","Various"
146,"Punchinello, Vol. II., No. 35, November 26, 1870","Various"
147,"Turkey: A Past and a Future","Arnold Joseph Toynbee"
148,"Reminiscences of Pioneer Days in St. Paul","Frank Moore"
149,"America's War for Humanity","Thomas Herbert Russell"
150,"The Merry Adventures of Robin Hood","Howard Pyle"
151,"Home as Found","James Fenimore Cooper"
152,"The Oregon Trail","Francis Parkman, Jr."
153,"Dracula's Guest","Bram Stoker"
154,"The Great Events by Famous Historians, Volume 5","Various"
155,"England and the War","Walter Raleigh"
156,"On the Improvement of the Understanding","Baruch Spinoza  [Benedict de Spinoza]"
157,"English Poets of the Eighteenth Century","Selected and Edited with an Introduction by Ernest Bernbaum"
158,"Dio's Rome, Vol. III","Cassius Dio"
159,"Mohammedanism","C. Snouck Hurgronje"
160,"The Black Creek Stopping-House","Nellie McClung"
161,"Across the Zodiac","Percy Greg"
162,"What Germany Thinks","Thomas F. A. Smith"
163,"Poems","(AKA Charlotte, Emily and Anne Bronte) Currer, Ellis, and Acton Bell"
164,"The Tragedy of Pudd'nhead Wilson","Mark Twain (Samuel Clemens)"
165,"Sword Blades and Poppy Seed","Amy Lowell"
166,"The Desert of Wheat","Zane Grey"
167,"Maria Mitchell: Life, Letters, and Journals","Maria Mitchell"
168,"The Congo and Other Poems","Vachel Lindsay"
169,"Wolves of the Sea","Randall Parrish"
170,"At Whispering Pine Lodge","Lawrence J. Leslie"
171,"Peck's Bad Boy at the Circus","George W. Peck"
172,"The Everlasting Whisper","Jackson Gregory"
173,"Introduction to the Philosophy and Writings of Plato","Thomas Taylor"
174,"Poems","Marietta Holley"
175,"The Land Of Little Rain","Mary Hunter Austin"
176,"The Poetical Works of William Wordsworth","(Edited by William Knight)"
177,"Walking","Henry David Thoreau"
178,"Daddy Takes Us Skating","Howard R. Garis"
179,"Purple Springs","Nellie L. McClung"
180,"The Pilgrims of New England","Mrs. J. B. Webb"
181,"Our Little Alaskan Cousin","Mary F. Nixon-Roulet"
182,"Their Crimes","Various"
183,"Beautiful Joe","by Marshall Saunders"
184,"Bleak House","Charles Dickens"
185,"Old Creole Days","George Washington Cable"
186,"The Wrecker","Robert Louis Stevenson and Lloyd Osbourne"
187,"Town Geology","Charles Kingsley"
188,"The Glands Regulating Personality","Louis Berman, M.D."
189,"The Outdoor Chums","Captain Quincy Allen"
190,"Patty at Home","Carolyn Wells"
191,"The Lone Star Ranger","Zane Grey"
192,"Sermons on Evil-Speaking","Isaac Barrow"
193,"The Professor","(AKA Charlotte Bronte) Currer Bell"
194,"The Night-Born","Jack London"
195,"In The Fourth Year","H.G. Wells"
196,"Punchinello, Vol. 2, No. 36, December 3, 1870","Various"
197,"Verse and Prose for Beginners in Reading","Horace Elisha Scudder, editor"
198,"Around the World in 80 Days","Jules Verne"
199,"Audio: After Dinner Toast at Little Menlo","Arthur Sullivan"
200,"Sonnets","Michael Angelo Buonarroti & Tommaso Campanella"
201,"Persian Literature, Volume 1,Comprising The Shah Nameh, The","Anonymous"
202,"Roy Blakeley's Adventures in Camp","Percy Keese Fitzhugh"
203,"Betty Gordon at Boarding School","Alice Emerson"
204,"Damon and Delia","William Godwin"
205,"Dave Darrin's Third Year at Annapolis","H. Irving Hancock"
206,"The Pupil","Henry James"
207,"Dotty Dimple at Play","Sophie May"
208,"Dragon's blood","Henry Milner Rideout"
209,"Miss Prudence","Jennie Maria (Drinkwater) Conklin"
210,"The Rover Boys at College","Edward Stratemeyer"
211,"Bull Hunter","Max Brand"
212,"The Gospel of the Pentateuch","Charles Kingsley"
213,"David","Charles Kingsley"
214,"Alias The Lone Wolf","Louis Joseph Vance"
215,"Poems","Walter R. Cassels"
216,"Snubby Nose and Tippy Toes","Laura Rountree Smith"
217,"Rose O' the River","Kate Douglas Wiggin"
218,"Fruitfulness","Emile Zola"
219,"The Mirror of Literature, Amusement, and Instruction","Various"
